,Name,Bio
@hurshd0,Hursh D,Data Science Student @LambdaSchool Data Scientist in progress...
@Pragmatizt,Ira Evangelista,"Startups, renewable energy, depth psychology, fitness. // What we must strive for is understanding ourselves; everything else is secondary. @LambdaSchool"
@iamjustyy,Justin,Data Scientist in progress
@bhaven,Barbara Z. Haven,"I like tech trends & tech friends, improving government, open gov, non-proprietary formats, collaboration & sustainability. Not speaking for others here."
@mitivest,MITIVEST,A Safer Approach to Investing
@_MeggieMae12,Megan,Learning and growing knowledge. TL @LambdaSchool
@NishchalDua,Nishchal Dua,"Entrepreneur | Growth & #DigitalMarketing | Digital Nomad | Speaker | Founder @theremote_life & Remote Work Summit | Ex-Amadeus, MakeMyTrip & Amicus (acq'16)"
@DakotaPope8,Dakota Pope,"Data Scientist, automotive enthusiast leveraging new technologies to automate and demystify all things AI"
@_hunterraffety,hunter raffety,"@lambdaschool - labs15. team lead. father. husband. musician. teacher. pretty nice person, ya know?"
@CoordinateSpace,CoordinateSpace,Learning Swift and iOS. Currently undertaking the #100DaysOfSwift challenge.
@jaredkain,@jaredkain,"Full stack web dev student @LambdaSchool . Iowa born and raised. Whisky, code and good humans."
@dmachlanski,Damian Machlanski,"MSc AI student @Uni_of_Essex , .NET Developer, Never enough learning!"
@hello_itsbenji,Asha,Lambda School Full Stack Webpt 10 | UX Design| Coder Mom | Introvert |
@lehoczkyescobar,Orion Lehoczky Escobar,wholesome child
@KenLangstonPM,Ken Langston,Project Manager | Product Manager | Programmer
@PotentTweets3,Limited Edition,Never a boring timeline
@christians_gina,Gina Christians,"Lover of football, peace, and animals (and some people too ;) ). @LambdaSchool disciple, WebPT9 TL, Web19 TL, #NFL #DenverBroncos #LARams fantatic"
@ActiveConnecto1,Sakura_Active Connector,"Hi I'm Sakura, Career Consultant at Active Connector-where our mission is to connect passion and talents with innovative companies shaping the future."
@HenryCParkhurst,Henry Parkhurst,"senior studying politics and stats @Princeton . tweeting for posterity until I have more than 5 followers. yes I’m in the #YANGGANG, convince me otherwise"
@CjLitherland,Chris Litherland,Organization Effectiveness Consultant Executive Coach ~ creating sustainable value for Global Organizations & Teams; Mariposa Consulting #Learn2Live #Live2Learn
@DavidSven,David Woodland,"Here to learn. Head of Product at @Palm : a premium credit card-sized smartphone for times you want to ditch your big phone. Previously @pebble , @altrarunning ."
@alexiscodes,Alexis,CS student and Aspiring IOS Developer
@TimDraimin,TimDraimin,"Social innovation maven, connector, SI ecosystem field builder, envisaging evolving SI lab & cross-sector-collaboration social tech systems | Views my own"
@vbhartia,Varun Bhartia,Creating http://HackHive.com - Project Based Portfolio for developers and data scientists! http://vbhartia.hackhive.com Former @facebook @uber @Microsoft .
@abstractify,andrew,"interested in strategy, decision making, tech, + investing."
@kevboard,Kev,UCSB alumni - B.S. Biology && @LambdaSchool - WEB23
@AaronSn47931676,Aaron_TwitB,"They/Them/We Self aware baby boy deity. I am Me, We, and They. Praise be Me. Enjoy peekaboo, trolling trolls, and give no f#$%s"
@Connorheraty1,Connorheraty,Data Science & Machine Learning
@rees1e,rees1e,Lambda School Student Full Stack Developer in the making: #reactjs #javaScript #lawofattraction Mom #Veteran #tech #anime #WWE #BarcodeAvengers
@amber_m_pittman,Amber Pittman,"I'm Amber, a #fullstack Team Lead! I'm a #TravelBlogger turning into a full stack web developer with @LambdaSchool !"
@AalejandroMejia,Alejandro Mejia,"Web Developer, entrepreneur mind! Ruby (Just imagine that is red lol) React, NodeJS and now Lambda student"
@CraigWadding,Craig Wadding,"Hi, I'm Craig. From Pittsburgh, living in Columbus Ohio. YouTuber ""Craig Wadding"". I'm enrolled in FlatIron School for Software Engineering started 8/12"
@man_sleen,Mike VanSleen,"Student @LambdaSchool , Full-Stack Web Development. I help startups to define, market and advertise their brands and create an online presence."
@SchipR,Ronsterizor,"retired health and safety professional. husband, father, grandfather and all around great guy."
@russ_poll,Russell Pollari,CTO @SharpestMindsAi (YC W18) | Machine learning | Mentorship | Web dev | Habits
@cheiHumbleself,Humbleself,Humbleself! IT professional A data scientist. ardent lover of machine and deep learning
@Luffyismyhero,Stephanie cheung,
@inthebreach,Jared Leonguerrero,Army Veteran | Full Stack Development Student | Code Platoon | Operation Code
@michael_rhema,Michael Rhema,I build web apps for businesses. I write about tech on https://medium.com/@michael.rhema
@Lee_Chizz,Leon Chisum,I only expend good energy #UCF #LambdaSchool
@crayton_keilyn,Keilyn Crayton,"""Aim Forever Higher""... Upcoming programmer!!. For Microsoft, dream job insiders programmer for windows phone.. Leave comments & suggestions please."
@zenoweed,Brian Fernandes,"Don't think too hard, just have fun with it."
@tim_minto,Tim Minto,"Principal consultant, Minto Spatial Solutions Ltd. Ex-underwater hockey player. Tetlockian superforecaster."
@LuisSalazarSr,Luis Salazar,Venture Consulting |
@ashwins93,Ashwin Sundararajan,"Full Stack Web Developer, Onboarding Engineer, @FreshworksInc , Lambda School"
@akindelekamar,Kamar,"I'm machine learning,web & software development enthusiast with strong passion for making things happen in places where it is least expected using technology."
@raythurman2386,Raymond Thurman,"Full stack web developer, currently WEBPT8 Section Lead at Lambda School."
@law_sanderson,Lawrence Sanderson,"Freelance web developer and graphic designer, general problem solver, avid Tea drinker and polar bear enthusiast."
@amine2233,Amine Bensalah,Freelance iOS & Backend API
@Jon_Cody_,Jon-Cody Sokoll,Data Scientist
@obiwankenoe,Noe Garcia Jr,Web developer. Internet marketer. #Cryptocurrency enthusiast.
@WuiltApp,Wuilt,Wuilt is a website builder that creates websites using just user-provided content.
@havocworkshop,mikey williams,"Art deviant, music lover, tech junkie @lambdaschool student. enjoys floating through the netspace learning everything possible. all thoughts are my own."
@GeffenAvraham,Geffen Avraham,"Spacecraft developer, mildly evil scientist, and explorer of worlds beyond."
@evansibok,Evan Elphick,"Samurai Jack Fan • UX • UI • Full Stack Web Dev Student @LambdaSchool • I know a lot about a lot of things, yet I know nothing. ENFP"
@code_ree,Ree,Pain is Inevitable but misery is optional! #Tech #100DaysOfCode. FullStack developer currently in LambdaSchool
@unalikez,Aaron Spurgeon,"Father, aspiring developer, student @lambdaschool (webpt8) https://github.com/unalikez"
@JWonCATCHING,Jerry Weinstein,Professional Baseball Coach - Colorado Rockies
@AriTheOracle,IMPELISH,•UX|UI Designer— Web Designer •Creator •Aspiring tech meme Queen • Inquires: info@impelish.com
@Keevinnee,kev,im a pesca-pescatarian
@chrisbrowntv,Christopher S. Brown,"Professional storyteller and senior communications advisor. Retired network TV producer, lobbyist and crimefighter. 24/7: chris@cbrowntv.com"
@clifhodges,Clif Hodges,@LambdaSchool #Webpt8 Currently reading #EloquentJavaScript and divinating my findings. #HTML #CSS #SASS #JavaScript #ReactJS #WebDev #WebDeveloper
@drjoyce_knudsen,Dr.Joyce - Philosopher (Ph.D),ONLINE COURSES(20yrs) “CommunicationTransformation” HumanBehaviorExpert/Radio Host/#SocialSitePro/Allow me to market you. Choose love The needs you.#NoDMs
@titratecode,Ruben Ponce,i make websites and website accessories
@tuckerwray,tucker wray,
@JoeHalcyon92,Joe Halcyon,ATL | Future Web Dev | Lazy Illustrator | Nearly an extra on Black Panther | BILL CORBETT AND RIFFTRAX FOLLOWS ME
@sammyokams,Samuel C. Okanume,Open for a position as a Full-Stack Dev #programmer | #webdeveloper | #developer http://sammychris.github.io
@emevonlou,Emanuelle Costa,"Criticizes with anguish, antiquated with compassion, compliment of the sublime stuffed with eternity."
@melissakark_,Melissa Kark,UX instructor @lambdaschool . Formerly @verizon
@michaeljaekel,Michael Jäkel,"Working as project leader for e-commerce. Self taught developer, loving VueJs, JS. Like diving, running. Leader of our local fire department. Always learning."
@ShreyKeny,Shrey Keny,18yo learning programming & deciphering startups.
@NathanSzelag,Nathan Szelag,FullStack Web Developer and UI/UX Designer. Current student at Thinkful. Looking to network with like minded individuals. I have a Programmer Sticker Addiction.
@MichaelHoumann,Michael Houmann,"Web developer and designer wroking with PHP, Javascript, HTML and CSS. Ready to do some freelance work or any entry job in the field. Get in touch."
@drojasug,Daniel Rojas Ugalde,Artificial Intelligence Manager at EY Costa Rica. I like soccer and reading.
@Nihad_NH,Nihad,| Swiss Crypto Optimist | Head of Business Development @ hlx | MLaw
@GunkaarS,Gunkaar Singh,I read and write and read and write and read and write.
@KewersonHugo,Kewerson Hugo,JavaScript/TypeScript Fullstack Developer. he/him.
@RonaldBowser7,Ronald Bowser,Official CodeFutz
@YB_I_AM,IAMYB,RU Alum. Caseworker. Naturalista. Foodie. Music & Sports Junkie. Coder in the making.
@js13kGames,js13kGames,HTML5 and JavaScript Game Development Competition in just 13kb - created by @end3r from @EnclaveGames . Runs for a month: August 13th to September 13th. #js13k
@Marthalemu,Matt,"Starcraft fan, Data Scientist in training"
@HCD124,Hamidou Diallo,NYU Class of 2019. full stack developer. Writer. Avid reader. Soccer and Hockey fan. INTJ.
@saxenasanju99,Sanjay Saxena,"MRICS,FMP(IFMA),Agile PM (PMI), Six Sigma Green Belt, Lean Graduate, Lead Auditor -50001,14001,18001,25999, FSSC22000, Tweets are mine, RTs not verified"
@CryptoBeep,CryptoBeep,Learn and seek to discover and utilize... #crypto #blockchain #btc #alt #forex
@mlamintamba,Lamin Tamba,"I coding . Self-taught #html, #css, #bootstrap4, #javascript and #swift. I’m currently learning Swift with Paul Hudson #100daysofswiftUI"
@NehaVDeshmukh,NehaDeshmukh,"Software Engineer @Jet .com, #eclectic, #dancaholic, #cinephile, #gourmand, #waterbaby"
@TC_HealthPolicy,Tim Casey,"Policy Advisor, Polsinelli Public Policy Group; Tweets are my own"
@unwireme,Rich Polanco,#iOS Padawan. #SEO Analyst. #TravelWriter. Blogging about my #Swift learning adventures here: https://iosdeveloperfromscratch.wordpress.com
@aidanjamespen,AidanJP,iOS/Swift and dogs basically. Above average at Tetris.
@damn_gurrrl,GaBOO! Procell,"Blaxican in tech. CVT. Develop Denver Illuminati. Aficionado of table-top gaming, sloths, and horror movies. None of this matters"
@WDevKen,WDevKen,Beginner Web Developer attending @LambdaSchool WEB19. Always learning!
@kimschles,Kim Schlesinger,"SRE @fairwindsops , Head of Education and Content @dvlpdnvr , Advisor @diversity_us , TFA Alum (MKE '10) she/her"
@pin_D_C,Brahim LAMRI,iOS Developer at Ya technologies.
@CareerCoachKels,Kelsey Johnson,Career Coach for @LambdaSchool | Investing in Student Outcomes & Changing #HigherEd
@chiefofstuffs,chief of stuffing,"Working on something newish, it’s more like copying what exists in the market but making it less shitty"
@rosethekatie,Katie,Full Stack Software Developer Team Lead (Labs18) @KeyConservation Student (Web20) @LambdaSchool Movement and music
@GrognardCoder,The Grognard Coder,Quixotic dabbler of esoteric arcana...
@LordPansar,Magnus S,"Software developer based in Stockholm, Sweden. I arrange bits of data in specific orders for a living at @b3squadra . My opinions are my own."
@MandaLane_,"manda[
]",amateur ukuleleist. professional cat lady. crochet ninja. trail lover. full stack web dev. Student & Former Section Lead @LambdaSchool
@CedricAmaya,Cedric Amaya,indie maker · coffee and code enthusiast · CS & Full Stack Web Dev student @LambdaSchool · he/him
@nohemyliora,Nohemy,"Chop wood, carry water. Any pronoun’s fine."
@hectorsvill,Hectorsvill,iOS Developer. Currently a student and iOS Section Lead @LambdaSchool
@sonjayjay5,sonjay,Entrepreneur #21dayCKChallenge
@justsml,Dan Levy,"Web Program Mgr. @LambdaSchool . Postmodern Functional JS. Artist. Contributor to NodeJS, React Router, GatsbyJS, Docker, Minio, Bluebird."
@kennethh72,Kenneth Haugland,"Interests: #maps #wardley #cynefin #serverless #innovation #finance #DevOps #Weights, #LeanStartup, #Agile #redpill #carnivore #JS #CSharp #Java #Yes2Meat"
@george_ruhlman,George Ruhlman,Business Adventurer
@mhd_ali_nasser,Mohamad Ali Nasser,Data & Machine Learning engineer. All things SEO and E-commerce. I systematicly hoard Chrome tabs. Team Lead @Lambdaschool تصَخَّر و تدَحرَج
@g33kzoneblog,G33kZone,Tutorials | Tech Blogs | Geek Zone
@niklas_heer,Niklas Heer,DevOps and Quality Engineer @Tradebyte . Organizer of @dev_night . I love to learn. I love to share knowledge. I love to meet people.
@TradeandMoney,Doug Campbell,"Academic economist, AP New Economic School; UC Davis Ph.D. Formerly employed at President's Council of Economic Advisors & DNC. #Trade #Replication"
@milinmestry,milin mestry,"Software Developer, Team Lead, Linux/Windows, PHP/Python, MySQL, Meteor, PrestaShop e-commerce, Blockchain, Freelancer interest in astronomy, Spirituality"
@BugZeroCodes,Bug Zero Codes,"Hey, I'm a coder, app developer, and all around cool kid."
@wevvake,Vivek,SWE. Google Summer of Code. Open Source Enthusiast. Programmer by choice. Learning to solve problems.
@tonycueva,Tony Cueva,Help to improve the world one startup at a time
@tmlt94,Tyler Thompson,Currently a Lambda School student studying Full Stack Web Development.
@UXshel,Shel Soriano,UX Design learner • photography admirer • coffee drinker • chocolate indulger
@__zacha__,zach,
@sravanti__,Sravanti Tekumalla,"Building software, strength, and resilience. Understanding light and color through photography. Transit @Uber , co-organizer @wscsf ."
@ToddMcKenzie4,Todd McKenzie,Full Stack Developer
@pratul_bagri,pratul,really nice guy
@suriGK,Suresh Gokarakonda,#dad #entrepreneur
@_erikSandoval,Erik Sandoval,"25, Web Development Student @LambdaSchool WEB19 LABS8 CS22"
@ManuelDAnda,Manuel de Anda,I'm into film production. Love Classic Hollywood. DM's are very welcome!
@chrishuskey,Chris Huskey,"Building global breadth + local depth in the US, China, India since birth. #NerdNation is home."
@uberstuber,James Stuber,"Master boring fundamentals. Play Infinite games. Follow for more on systems, exploration, and learning. http://digitalproductivity.coach Founder @sci_vista"
@rrherr,Ryan Herr,"Data science instructor @LambdaSchool . Banjo videos on Mondays. Interested in how software can give creative feedback to help people learn art, music, & code."
@generativist,(wannabe) breaker of loops,Comp Soc Sci Ph.D.; 15 yrs #Chordoma-free; Frequent Shitposter (shitpost-free alt: @generativist_ ); Reluctant Adult; Working on social info immune system.
@podviaznikov,Anton Podviaznikov,"Observer. No answers yet, only questions."
@tszzl,roon,the world is already good as hell and we can make it better | RL research @umich prev: @instagram
@PranjalDaga1,Pranjal Daga,"Fellow @beondeck . ML/NLP @Cisco . EIR @VonzosPartners . Ignite Fellow @StanfordGSB . Previously ML @Adobe , @Purdue , @NorthwesternU , @UAlberta . Hackathon junkie!"
@sperand_io,Chris Sperandio,"discursive, interdisciplinary. software, commerce, media, networks, privacy. product architect @segment . words and opinions are mine alone"
@TYLERISGR8,Tyler Larrabee,
@seth_atl,SethDavisATL,Recruiter | WebPT6 @LambdaSchool https://linkedin.com/in/zsethdavis/
@eIBc2nwNv9urswn,Music Life,100% Follow back Enjoy Music ♯FollowforFollow♯followback#music
@rhettweller,Rhett,Tech. MBA. NBA. Football. Futbol. BYU. FP&A. Once quoted in CNBC as being “very excited” about an Excel formula (XLOOKUP)
@meditationstuff,"Mark (
)",Global institution builder. er. Things: • spiritual consulting • shamanic support (online/IRL) • hardcore meditation on-ramp & community • shitposts
@thisverynate,Nathan Shirley,"we are food for worms, lads. @uva"
@brantchoate,brantley,"Here to make friends with friendly nerds. Building a platform to make user research easy. Formerly led product @podiumhq , marketing @adobe"
@dewayneroyj,DeWayne Roy,@LambdaSchool || @EarnestCapital
@W_Jenkins17,William Jenkins,CWHS ‘19 | University of Akron/Mechanical Engineering | Cobalt SS/SC | Self-Proclaimed Flow Free World Champion | Disc Golf Enthusiast
@ericengelmann,Eric Engelmann,"Founder of @Geonetric , @iaaccelerator & @NewBoCo ; Board Chair @ScrumAlliance . Passionate about agile leadership, tech & exceptional co’s & teams. He/him"
@BrianSaetre,Brian Saetre,"I write about using our understanding of human evolution to become funnier, happier, stronger & more loving. Analytical. Nuance matters. Civility + compassion."
@xmnlab,XMN,"entusiasta de python, pydata, scipy, machine learning, weigh-in-motion (WIM), open source, open data, open access, open science ..."
@GrahamThornton1,Graham Thornton,Real estate by day experimenter by night. Still Learning
@HarveyMultani,Harvey Multani,Software Engineer Personal: http://harveymultani.substack.com
@AT_Neuner,Aaron Neuenschwander,Head of Partnerships @lambdaschool • Cofounded @collabor8app @getintheflow @lynxinbio • Skiing // Design // Entrepreneurship
@MattDMcCarley,Matt McCarley,"Husband and Father of 3. Passionate about education, WebDev, and CS. Born and raised in the Pacific Northwest. I"
@ColinRoss_,Colin Ross,
@writeens,Don't Imagine Dragons™,"Unofficial nerd , Developer who knows a thing or two about JavaScript."
@TooLost2Lose,Jessica Trammell,
@neutronsNeurons,Edouard Harris,"Past: Physicist, ML eng, SWE. Present: Founder @SharpestMindsAI (YC W18), mentorship for ML that you don't pay for until you're hired. Future: See Present."
@TomHiggins42,Tom Higgins,Twitter is evil and I try to use it rarely and prudently. Don’t always succeed.
@goHolmes2,goHolmes,Software Engineer in Progress | IT Support by Trade | Cisco Networking by hobby | Digital Entrepreneur
@Codingchiro,Crystal Martin,"Current Lambda School Student- Software Engineer. Chiropractor of 15 years, mom to 2 humans, 1 Great Dane, 1 Devon Rex, and a herd of Frenchies."
@JavidJasmine,How you do that Jasmine???,"Bridging the gap between #tech & #customers @eventops , while simultaneously keeping people happy. #CustomerSuccess Period #UX #UI unicorn coming soon!"
@PMudunuru,Priya,Full Stack developer
@grodaas,Ole Morten Grodås,
@matthewbwright,Not now I’m reading!,Full-stack web dev. Presenter for Les Mills BODYJAM and SH'BAM. Click link for Lambda School! http://fbuy.me/lqE1y
@MicahJanke,Micah,Studying Full-Stack Web Development @LambdaSchool WebPT7
@MegatronHail,Ahmad,All warfare is based on deception. Web Development @Lambdaschool the family @CareerKarma
@biovir3,Jason Murphy,Learning Data Science @LambdaSchool Marine Electrician IT technician lifelong learner
@lauremerlin,laure merlin,"Starting @playmytech IRL&up, connector @cablockchain , bkchain & innovations, agitator with startup geek, visual thinker, crazy unschooling mom, traveler.."
@EnokaJaona,Enoka Jaona,"Full-stack dev and PM @lambdaschool , adventurer with a free spirit."
@kylasdesign,kyla-sweeney,"UX Pre-course TL, UX7 SL, UX4 Student @LambdaSchool . Developing user centered ideas and promoting positivity and growth."
@Brijesh_Bangera,Brijesh Bangera,It’s all in your head
@Dev_Temitope,Temitope Akinsoto,"Full Stack Developer, @lambdaschool"
@LeonardMazur2,Leonard Mazur,SEO.... Link Building Expert.......Content Writer...Digital Marketing.....Social Media...Professional Blogger...Online Media Publisher..
@ar_n_k,Abdul Rehman Khairdi,Analytical. Problem Solver. Product Engineer. Observer. Trying to solve real world problems through Product and Tech
@imtiaz101325,Sk Imtiaz Ahmed,Self-taught/Self-made Software guy. Wide variety of interests in the bleeding edge of Software. Professionally experienced in Front-end and JavaScript.
@workingjubilee,Jubilee,"Professional Web-Spinning, Bug-Hunting, Full-Stack Spider @LambdaSchool alum (she/they)"
@equitymarkets,Derek Price,Teacher | Public Speaker | Investor | Blockchain Enthusiast | Traveler // Working towards a new career as a developer #100DaysofCode
@leachcoding,Jay Leach,Dedicated to my passions. Love to program and code. I travel and adventure a lot. #lambda WEBpt8 @Lambdaschool
@k__codes,kay,
@financemultiple,&,pseudonymously tweeting about growth & finance.
@nmitsy,Mylynh,Full stack webdev student. Meme dump enthusiast. Salt extraordinare.
@taiweiko,Taiwei Ko,Aspiring to reach my true potential and making a positive difference to others through programming. #SoftwareEngineer | #BlockchainDeveloper | #EthereumCoder
@HandlessSamson,Ray Aguilar,"The name is Ray, I'm 23 years old. I'm working towards becoming a Full-Stack Web Developer through Lambda!"
@miikisw,Mikis,Student @LambdaSchool . Focusing on shipping things.
@mankms,Alexander Makhaev,Full-stack PHP developer (Laravel & Symfony) #SUS2019 @startupschool
@nisa_Champagne,Nisa Champagne,Lambda student by day || Artist by night Marrying my best friend 09/21 Full Stack Web Developer
@RingoMandingo93,Kyle Leonard,Blockchain enthusiasts and Web Developer in the making.
@AlexAntony249,Alex,"Strong Views, Loosely Held"
@EricWinbigler,Eric Winbigler,Father of 3 great kids. Future software engineer.
@MachinaViva,Valentina Alexander,@BellaTechnica Founder. #MachineLearning enthusiast. Economics MA. INFJ. Inventory Planner. Go Coogs!
@craighunter_,Craig Hunter,"Building something new. Investor. · Past: early @Uber , early http://Ritual.co, CEO at @BitmakerHQ (acq by @GA ) ·"
@alt_dev_nikema,nikema (she/her),Founder of @PopSchoolsCode & #TechTwitterPayItForward http://patreon.com/tpif | Tweets by Nikema Prophet @dev_nikema
@Drkensilvestri,Kenneth Silvestri,"Systemic thinker, LMFT, CCH, poet, Aikido black belt, Qigong/Tai ji, supporting mutual learning, & complexity"
@ZimVC,Michael Zimmerman,Solutions @LambdaSchool .
@onlinegodfather,Benjamin,A man can work his way out of darkness into light.
@brookscodes,Brooks Poltl,"Full-stack web developer, @LambdaSchool alum, passionate about investing, learning new things, and building web applications."
@AnikaNacey,Anika,Data science student at Lambda School (DSPT1) and Team Lead (DS7) - Pythonista - Dog mom - Statistics nerd - - - She/her - All views are my own
@dom_torr,Dominic Torruellas,.Net Developer. Technology enthusiast. Compulsive learner. Student @LambdaSchool
@BobMain49,Bob Main,"I tinker, I code , I learn, I try to create. Lets see where it goes... (...update: so far, just silly things )"
@TroySchennum,Troy Schennum,UX design with empathy. Team Lead @LambdaSchool .
@justine_codes,J u s t i n e,I'm currently under construction - thank you for your patience.
@Luisa_Donato,Luisa Donato,Computer Engineering Artificial Intelligence Apple addicted Restless mind and big dreams Pensate a cose straordinarie:saranno loro a portarvi in alto ;)
@nobleobioma_,Noble,"A Human being Human l Software Engineer [ JavaScript, Python ] | Currently, Full-Stack Web Development & Computer Science @LambdaSchool | formerly [ @Andela ]"
@markianrubin,Mark Rubin,I have always been able to visualize knowledge and I'm building software to explain what I see. This is my story (4.5 minutes): https://youtu.be/DkN7wH65BlI
@Leananepari,Leana,Software Developer with some Front-End industry experience | currently: Web Full-Stack student @lambdaschool
@KooyerZeke,Zeke Kooyer,UX designer @lambdaschool working out of @startgarden . Interested in empathetic website design. @calvincollege grad.
@scottvojik,scott vojik,"Software Engineer @TRED , @lambdaschool alum. Cars and code."
@jasheloper,Jashele Tillman,"Front-End Developer with Full Stack Experience - HTML/CSS, JavaScript, React, Node.js, Express.js | Refining my skills at @LambdaSchool (#WebPT7)."
@ArnellMilhouse,Arnell Milhouse,"Inventor, developer, CEO/co-Founder @CareerDevs | Dracodess | Entrepreneur In Residence @ Brown Univ | @TEDx & @GoogleTalks #speaker. #SiliconRhode"
@notoliverearl,Oliver Earl,"I teach computer science. PGCE PCET @BCUHELS , and occasionally find time to do some programming myself. Big fan of Nightlines. Tweets are strictly my own."
@bradmmortensen,Brad Mortensen,${software-dev} || @lambdaschool alum
@cooltaku_,Nikkun,"Head in the clouds, heart in Japan | s & things |Data Science @LambdaSchool | Linguist| 日本語でもオッケー"
@RickiTickiToddi,Erick Todd II,@LambdaSchool
@AdnanCodes,Adnan Chowdhury,"Full-Stack Developer. Web21, Labs17 @lambdaschool .Coding, playing video games, gym, and seeking out ideas that shape and evolve our human experiences"
@audreyakwenye,Audrey.AI,I used to teach students now I teach computers | cofounder Gardner Academy & @schoolioco / @schooliocoza | we use Ai to help teachers plan better lessons. she/her
@Haywhyze,Yusuf,Modest #Muslim Professional #Software Engineer #MUFC Addict @lambdaschool #MachineLearning Enthusiast
@OpenSourcererML,JayTheBlue,"Pallandro the lost Istari of Middle Earth. one Half of the Ithyn Luin of Middle. My death and defection are overstated. Modern Day Data Scientist, , ASoIaF"
@leonard56896873,leonardo,bazinga/excellsior
@kailygranados,Kaily,
@ericthelugo,Eric SarragaLugo,"Full-Stack Web Engineering Student @LambdaSchool w/ passion for #cleancode, software craftsmanship, #generative art, & #learning! Working for a better tomorrow!"
@ControlzLUL,Controlz,yuki aim
@madplatt,Mario Platt,"Reasonable Assurance against Predictable threats. Security Leader, Architect and Manager, Risk Management, Strategy, DevSecOps and Threat Modelling (he/him)"
@LoganAMcLain,Logan McLain,"Christian, Dad, UX, Soft Dev, Hiring, Scaling Businesses || Director of Professional Services at Kitestring Technical Services"
@realnamejr,Junior Dugue,web && self development ...Part Time Lambda School Student studying Full Stack Development and Computer Science alongside UI/UX
@aarynmcdade,aaryn,Woman. UX Design Student. Fine Artist. HBCU Alumna. #SSU #SSU16 #UX5 #UXPT4TL #blacktechtwitter
@SamoBurja,Samo Burja,There has never been an immortal society. Figuring out why. Founder of Bismarck Analysis. Bylines in @TheNatlInterest @palladiummag .
@jmwatt3,Jason Wattier,"Reformed Accountant turned Programmer. First SQL, then the World!!!"
@AmiEzraScott,Ami Scott,"Web Developer | JavaScript, CSS, React, NodeJS, Express | I really like stickers | They/Them"
@durbCodes,Nick Durbin,WEBpt8 @Lambdaschool | Cleveland Sports Fan | I love life & people. We all have the capacity to make a change for the betterment of our world.
@JacobSeppanen,Jacob Seppanen,Android Developer
@BrianARuff,Brian A. Ruff,Application Programmer. Love music. Like basketball. Lambda CS Grad
@SkepticalNomad,Abdul Ahmad,"Web app artisan, PeopleSoft, #Accenture, husband, father, feminist with interest in cuisine, history, religion or lack of, and"
@RVAtrout,Josh Armantrout,UX | Product Mgmt | Dev. Student @Lambdaschool . Musician. Product Junkie. Design Enthusiast. Shameless Nerd. RT =/= endorsement. Opinions are my own. He/Him
@WasiuShina2,JhonThanus,Coding for the love of it ....
@reebsCodes,John Gibbons,Full Stack Web Developer | Current Lambda School student in the Web18 cohort
@qgoodman_,Quinn Goodman,"Mostly memes here, with an occasional mix of politics & religion. INFP. BYU Student."
@erasmuselsner,Erasmus Elsner,"tweeting about early stage tech, the founder journey and venture capital"
@ppdts20,,
@JDavidM5,J David M.,"Raumfahrt, Trompete, Sonstiges."
@corey_gwin,Corey Gwin,Helping you turn thoughts into words that matter with @BlurtDotApp .
@abdlazeez,AbdulAzeez Ajibola,"Incurable optimist and firm believer in the inherent good of man, A winner even when I don't want to win!"
@lavas,Ilkka O. Lavas,"Award winning CEO & #entrepreneur. Co-Founder EatAndTheCity, City Digital, publisher at @citylehti @TableOnlineFi #marketing #digitalization #media #growth"
@HesapOkulu,Hesap Okulu,
@Clouddaddy_io,Clouddaddy.io,"Clouddaddy Software Solutions Pvt Ltd. - Headquartered in New Delhi, Clouddaddy is a global provider Information Technology services."
@Kenneth_ca7,Kenneth,Full-stack software engineering student @HolbertonCOL . Graduated Economist.
@chchaitanya95,Chaitanya Chinni,"Head of Technology, YNOS Venture Engine CC Pvt. Ltd. Visit us here - https://ynos.in"
@InsuranceMaxpro,MaxPro Insurance Solutions,"We provide Workers Compensation, General Liability, Risk Management, HR/Safety, and Strategic Business Solutions to insure a bright future for our clients!"
@Senseideadboy,[S3NS3!°DEADBθ¥],literally nothing matters think about that.... THE GREEk ShaLL iNHeriT the EARTH
@gu_australia,Golden Unicon Australia,Golden Unicon is a full-fledged 360-degree #digital #marketing #agency. We are a multinational digital #service provider who crafts intuitive digital #solutions
@ajitmakawana95,Ajitzala,Web Developer
@jbryview,Jacob Bryan,"WWW Designer & Developer, currently studying Data Science and Analytics.. always willing to listen and chat @lambdaschool graduate"
@TJInvestments,"TJ Investment Team, LLC","We buy homes from those who can’t manage them anymore, fix them up, and work hard to get the next family into them. Call: (440) 225-1086 #invest #tjinvestment"
@codehack2018,Michael,"blog writer, techie, full stack web engineer"
@SynthThought,SynthThought,Synthetic Thought. Playing with AI waiting for it to play back.
@markwahlberg666,church of wahlberg,
@clodd517,Top Ramen,We have met before. Shhh...
@listahouse,List-A-House Realty,"REALTORS® We are located just in the heart of South Florida and servicing Broward, Miami-Dade, and Palm Beach County. (954) 292-4012 info@listahouse.net"
@LeanLinking,LeanLinking,Leanlinking - #Procurement excellence and supplier relationship #management have never been easier. Simplify supplier management and collaboration.
@dvoraksher,sheryll,human being
@polytrophic,deus ex aponia,i am the body that is in the nature of being
@CopilotThe,The Copilot | Crypto,Trading and Crypto #Trader #Crypto $BTC
